Title,Year
Nhà tù Shawshank,1994
Bố Già,1972
Kỵ Sĩ Bóng Đêm,2008
Bố Già Phần II,1974
12 Người Đàn Ông Giận Dữ,1957
Bản Danh Sách Của Schindler,1993
Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003
Chuyện Tào Lao,1994
Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,2001
"Thiện, Ác, Tà",1966
Cuộc Đời Forrest Gump,1994
Sàn Đấu Sinh Tử,1999
Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,2002
Kẻ Đánh Cắp Giấc Mơ,2010
Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,1980
Ma Trận,1999
Chiến Hữu,1990
Bay Trên Tổ Chim Cúc Cu,1975
7 Tội Lỗi Chết Người,1995
Cuộc Sống Tươi Đẹp,1946
Bảy Võ Sĩ Đạo,1954
Sự Im Lặng Của Bầy Cừu,1991
Giải Cứu Binh Nhì Ryan,1998
Thành Phố Của Chúa,2002
Hố Đen Tử Thần,2014
Cuộc Sống Tươi Đẹp,1997
Dặm Xanh,1999
Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,1977
Kẻ Hủy Diệt 2: Ngày Phán Xét,1991
Trở Về Tương Lai,1985
Vùng Đất Linh Hồn,2001
Nghệ Sĩ Dương Cầm,2002
Tâm Thần Hoảng Loạn,1960
Ký Sinh Trùng,2019
Léon: Sát Thủ Chuyên Nghiệp,1994
Vua Sư Tử,1994
Võ Sĩ Giác Đấu,2000
Lịch Sử Mĩ Thế Kỉ X,1998
Điệp Vụ Boston,2006
Tay Trống Cự Phách,2014
Ảo Thuật Gia Đấu Trí,2006
Nghi Phạm Vô Hình,1995
Chuyện Tình Thế Chiến,1942
Mộ Đom Đóm,1988
Seppuku,1962
Những Kẻ Bên Lề,2011
Thời Hiện Đại,1936
Thưở Ấy Miền Viễn Tây,1968
Rạp Chiếu Bóng Thiên Đường,1988
Vụ Án Mạng Nhà Bên,1954
Quái Vật Không Gian,1979
Ánh Sáng Đô Thị,1931
Lời Sấm Truyền,1979
Kẻ Mất Trí Nhớ,2000
Hành Trình Django,2012
Indiana Jones Và Chiếc Rương Thánh Tích,1981
Rô-bốt Biết Yêu,2008
Khoảnh Khắc Cuộc Đời,2006
Sunset Blvd.,1950
Paths of Glory,1957
Ngôi Nhà Ma,1980
Nhà Độc Tài Vĩ Đại,1940
Avengers: Cuộc Chiến Vô Cực,2018
Nhân Chứng Buộc Tội,1957
Quái Vật Không Gian 2,1986
Người Nhện: Vũ Trụ Mới,2018
Vẻ Đẹp Mỹ,1999
Tiến Sĩ Strangelove,1964
Kỵ Sĩ Bóng Đêm Trỗi Dậy,2012
Định Mệnh,2009
Oldboy: Báo Thù,2003
Sự Đố Kỵ Của Thiên Tài,1984
Coco: Hội Ngộ Diệu Kỳ,2017
Câu Chuyện Đồ Chơi,1995
Trái Tim Dũng Cảm,1995
Joker,2019
Trận Chiến Tàu Ngầm,1981
Avengers: Hồi Kết,2019
Công Chúa Mononoke,1997
Chàng Will Tốt Bụng,1997
Nước Mỹ Một Thời,1984
Tên Cậu Là Gì?,2016
Hát Dưới Mưa,1952
3 Chàng Ngốc,2009
Nguyện Cầu Cho Một Giấc Mơ,2000
Tengoku to jigoku,1963
Câu Chuyện Đồ Chơi 3,2010
Capharnaüm,2018
Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,1983
2001: Chuyến Du Hành Không Gian,1968
Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,2004
Đến Mà Xem,1985
Những Kẻ Phản Bội,1992
Cuộc Săn Lùng,2012
Lawrence Xứ Ả Rập,1962
Công Dân Kane,1941
M - Eine Stadt sucht einen Mörder,1931
Ikiru,1952
Bắc Tây Bắc,1959
Căn Hộ Tình Yêu,1960
Quay Cuồng,1958
Le fabuleux destin d'Amélie Poulain,2001
Double Indemnity,1944
Cỗ Máy Tội Phạm,1971
Áo Giắp Sắt,1987
Ông Trùm Mặt Sẹo,1983
Anh Hùng Hamilton,2020
Tìm Tung Tích Mẹ,2010
Kỳ Phùng Địch Thủ,1995
Vút Bay,2009
Giết Con Chim Nhại,1962
The Sting,1973
Cuộc Chia Ly,2011
Thành Phố Trung Tâm,1927
Bí Mật Los Angeles,1997
Đương Đầu Với Thử Thách,1988
Tài Xế Taxi,1976
Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,1989
Tên Trộm Nữ Trang,2000
Kẻ Cắp Xe Đạp,1948
Cậu Bé Đặc Biệt,2007
Thế Chiến 1917,2019
Phi Công Siêu Đẳng Maverick,2022
Ngày Tàn Của Hitler,2004
Dangal,2016
Thêm Vài Đồng Xu Lẻ,1965
Người Dơi Xuất Hiện,2005
Đứa Trẻ,1921
Some Like It Hot,1959
The Father,2020
All About Eve,1950
Sói Già Phố Wall,2013
Cẩm Nang Xanh,2018
Tòa Án Chiến Tranh,1961
Lãnh Chúa Hidetora,1985
Sòng Bạc,1995
Buổi Diễn Của Truman,1998
Máu Sẽ Phải Đổ,2007
Mê Cung Của Pan,2006
Không Thể Tha Thứ,1992
Giác Quan Thứ Sáu,1999
Đảo Kinh Hoàng,2010
Một Tâm Hồn Đẹp,2001
Công Viên Kỷ Jura,1993
Yôjinbô,1961
Kho Báu Ở Sierra Madre,1948
Chén Thánh Phiêu Lưu Ký,1975
Không Chốn Dung Thân,2007
Cô Dâu Báo Thù 1,2003
Cuộc Đào Thoát Vĩ Đại,1963
Lã Sinh Môn,1950
Quái Vật Biến Hình,1982
Đi Tìm Nemo,2003
Người Nhện: Không Còn Nhà,2021
Người Voi,1980
Phố Tàu,1974
Chiến Binh Tự Do,2005
Bò Đực Nổi Điên,1980
Cuốn Theo Chiều Gió,1939
Cuộc Gọi Chết Người,1954
Băng Đảng Người Anh,1998
Những Mảnh Ghép Cảm Xúc,2015
Lâu Đài Di Động Của Howl,2004
Bí Mật Sau Ánh Mắt,2009
Three Billboards: Truy Tìm Công Lý,2017
Lối Sống Đồi Trụy,1996
Cầu Sông Kwai,1957
Lần Theo Dấu Vết,2013
Thị Trấn Fargo,1996
Chiến Binh Quyền Anh,2011
Ngọt Và Đắng,2008
Hãy Bắt Tôi Nếu Có Thể,2002
Hàng Xóm Của Tôi Là Totoro,1988
Million Dollar Baby,2004
Những Đứa Trẻ Thiên Đường,1997
Tội Phạm Nhân Bản,1982
Cuộc Săn Vàng,1925
Klaus - Câu Chuyện Giáng Sinh,2019
Harry Potter và Bảo Bối Tử Thần: Phần 2,2011
Before Sunrise,1995
12 Năm Nô Lệ,2013
Ben-Hur: Truyền Thuyết Đức Chúa Trời,1959
Khách Sạn Đế Vương,2014
On the Waterfront,1954
Cô Gái Mất Tích,2014
Smultronstället,1957
The General,1926
Barry Lyndon,1975
Sát Thủ John Wick: Chương 4,2023
In the Name of the Father,1993
Kẻ Săn Hươu,1978
Người Hùng Không Súng,2016
Người Thứ Ba,1949
Le salaire de la peur,1953
Hồi Ức Kẻ Sát Nhân,2003
Relatos salvajes,2014
Sherlock Jr.,1924
Mr. Smith Goes to Washington,1939
Max Điên: Con Đường Tử Thần,2015
Mary Và Max,2009
Bí Kíp Luyện Rồng,2010
Phong Ấn Thứ Bảy,1957
Công Ty Quái Vật,2001
Hội Cố Thi Nhân,1989
Hàm Cá Mập,1975
Room,2015
Bá Tước Lebowski,1998
Câu Chuyện Tokyo,1953
Bài Ca Khổ Hình Của Joan of Arc,1928
Cuộc Đua Lịch Sử,2019
Khách Sạn Rwanda,2004
Tay Đấm Huyền Thoại,1976
Chú Chuột Đầu Bếp,2007
Trung Đội,1986
Tiêu Điểm,2015
Logan: Người Sói,2017
Kẻ Hủy Diệt,1984
Stand by Me,1986
Đường Đua Nghẹt Thở,2013
Network,1976
Trước Lúc Hoàng Hôn,2004
Về Với Thiên Nhiên,2007
Phù Thủy Xứ Oz,1939
The Best Years of Our Lives,1946
The Exorcist,1973
Ngày Chuột Chũi,1993
Gia Đình Siêu Nhân,2004
To Be or Not to Be,1942
La haine,1995
Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,2003
Pather Panchali,1955
Hachiko: Chú Chó Trung Thành,2009
La battaglia di Algeri,1966
The Grapes of Wrath,1940
Cha Và Con Của Tôi,2005
Amores perros,2000
Jai Bhim,2021
Rebecca,1940
Người Hầu Gái,2016
Cool Hand Luke,1967
Giai Điệu Hạnh Phúc,1965
Chuyện Xảy Ra Trong Đêm,1934
400 Cú Đấm,1959
Persona,1966
Life of Brian,1979
Người Máy Khổng Lồ,1999
Người Giúp Việc,2011
Aladdin,1992
Khiêu Vũ Với Bầy Sói,1990
Dersu Uzala,1975
